UNITID,EFTOTLT,RET_PCF,RET_PCP,STUFACR,risk_score,low_retention,pct_black,pct_hispanic,pct_white,pct_international
110538,15257,82,46,23,0.2724977765598073,0,0.029691289244281313,0.37805597430687554,0.4115487972733827,0.02090843547224225
110547,15182,74,36,21,0.44336407147836177,0,0.12297457515478856,0.6649321565011197,0.05348438940851008,0.02476617046502437
110556,24427,82,43,22,0.20245160319701297,0,0.029475580300487164,0.6141564662054284,0.15413272198796413,0.028493060957137592
110565,43662,82,59,26,0.07977319844359056,0,0.025514177087627685,0.5426457789382071,0.1416334570106729,0.022949017452246805
110574,12326,76,68,22,0.1956375640631709,0,0.08964789875060847,0.37230245010546814,0.16339445075450268,0.07001460327762453
110583,42003,87,62,23,0.05641419069932374,0,0.03971144918220127,0.5123681641787491,0.14932266742851702,0.03635454610384972
110592,23163,72,43,21,0.3163192020280052,0,0.04317230065190174,0.7468376289772481,0.04835297673012995,0.020204636705090016
110608,38313,73,56,25,0.09666390711177568,0,0.05209719938402109,0.54939576645003,0.18448046355023098,0.04259650771278678
110617,31943,82,53,24,0.16050948614523866,0,0.06680649907647998,0.3729142535140719,0.2365150424193094,0.02266537269511317
110635,45882,97,81,18,1.5938490521044324e-5,0,0.025107885445272655,0.18702323351205266,0.21958502244889064,0.15836275663658952
110644,40065,93,83,22,1.1143353524012832e-4,0,0.020691376513166104,0.23117434169474604,0.22348683389492074,0.14938225383751405
110653,37297,94,68,19,1.22728966051687e-4,0,0.021878435262889778,0.2452207952382229,0.14781349706410704,0.15684907633321715
110662,47335,97,83,20,7.005039844304736e-5,0,0.03654800887292701,0.21590789056723356,0.24670962290060208,0.13419245801204183
110671,26384,88,54,22,0.01781127423442561,0,0.0352865372953305,0.36753335354760464,0.1170027289266222,0.08815949060036386
110680,44256,94,84,19,7.279340559565625e-6,0,0.01669830079537238,0.22896330441070137,0.177309291395517,0.18142172812725957
110705,26133,93,41,17,0.00687891534405822,0,0.021428844755672905,0.25454406306202887,0.3191367236827,0.1190448857766043
110714,19938,88,31,22,0.07010176245737143,0,0.020513592135620422,0.2715919349984953,0.307603571070318,0.05953455712709399
