UNITID,EFTOTLT,EFBKAAT,EFHISPT,EFWHITT,EFNRALT,RET_PCF,RET_PCP,STUFACR
373456,32,26,0,0,0,70,83,20
373678,87,15,31,26,0,95,75,12
373696,109,11,38,54,0,83,80,12
373711,70,18,7,33,8,61,NA,14
373784,563,461,22,40,0,62,NA,19
374316,71,67,1,2,0,88,100,20
374343,58,0,2,55,0,100,NA,15
374574,782,452,128,113,0,63,NA,18
374592,67,38,10,19,0,37,NA,10
375230,226,0,0,226,0,79,NA,21
375373,126,9,3,107,0,100,85,4
375407,81,15,1,64,0,72,67,9
375416,197,165,9,16,0,47,NA,15
375568,101,1,0,91,0,100,84,6
375656,192,6,46,124,0,75,100,6
375683,860,13,77,565,0,78,78,15
375726,540,18,26,280,0,68,50,4
375939,32,8,0,14,0,57,NA,10
375966,180,124,11,28,0,75,NA,25
375984,279,174,17,5,0,51,49,23
376224,161,0,161,0,0,80,NA,10
376242,56,0,56,0,0,85,NA,27
376288,210,0,210,0,0,68,NA,12
376330,212,0,212,0,0,68,NA,21
376446,58,26,6,23,0,100,100,12
376631,20,1,4,13,0,91,100,18
377111,154,83,30,28,0,68,NA,11
377193,24,0,24,0,0,67,NA,5
377218,88,11,26,42,0,79,NA,11
377272,12,0,12,0,0,80,NA,7
377281,77,6,66,4,0,88,NA,9
377315,40,1,7,26,0,79,NA,10
377449,203,136,17,25,0,72,NA,15
377458,163,113,12,16,0,67,NA,14
377485,55,18,5,18,0,31,0,8
377546,139,14,27,80,0,77,NA,34
377555,6058,610,619,1705,298,86,73,22
377564,4965,566,750,1678,208,80,64,15
377643,111,10,1,93,0,80,NA,22
377652,165,14,0,138,0,65,NA,24
377661,765,204,29,402,0,50,NA,24
377722,324,14,117,110,1,87,NA,15
377759,148,5,106,21,0,93,NA,24
378105,631,11,535,34,0,89,57,30
378886,253,110,83,47,0,77,79,15
378956,713,64,178,365,2,91,NA,17
379621,113,41,12,53,0,38,NA,20
379746,631,313,285,18,0,71,NA,37
380067,198,53,143,1,0,72,NA,24
380368,1789,39,64,1209,0,44,48,16
380377,636,2,69,17,1,55,14,14
380438,669,6,107,429,0,67,NA,37
381255,96,2,92,2,0,95,NA,19
381282,95,0,92,1,0,62,NA,24
381325,142,0,140,0,0,92,NA,24
381370,230,85,19,110,0,84,78,13
381404,415,195,153,42,0,86,69,37
381486,22,0,2,20,0,100,NA,7
381699,46,0,20,25,0,73,67,15
382258,172,23,86,37,0,82,76,9
382416,80,47,15,14,0,91,NA,10
382461,43,12,0,31,0,86,67,15
382780,96,19,23,46,0,63,0,20
382911,47,10,18,10,0,93,33,7
382957,502,371,30,45,0,55,NA,23
383084,491,13,365,40,0,91,80,25
383163,106,0,106,0,0,90,94,20
383190,2289,19,460,342,36,59,36,14
383279,190,33,64,69,6,92,88,10
383297,232,18,65,105,6,100,100,18
383312,80,1,1,76,0,18,NA,8
383330,88,30,4,40,0,95,NA,4
383367,220,11,4,201,0,73,82,10
383464,32,8,10,12,0,59,NA,15
383525,24,4,3,16,0,58,NA,10
383765,98,64,20,11,0,65,60,15
383996,773,13,288,253,21,33,25,11
384236,1045,35,286,20,0,86,NA,25
384245,1201,17,378,36,0,89,NA,25
384254,531,77,48,354,8,85,NA,12
384333,10109,724,6103,2110,22,69,44,25
384342,4855,626,614,3064,70,74,57,18
384412,1241,446,23,55,100,80,NA,11
384421,115,0,0,111,4,97,NA,19
385132,163,18,33,60,2,94,60,10
385503,372,95,87,149,0,59,NA,15
385619,3242,646,656,1257,5,74,NA,17
386153,449,0,0,449,0,63,0,33
386472,717,268,228,146,0,40,100,16
388520,419,167,114,75,26,100,69,12
389860,356,19,2,316,0,94,97,6
390905,300,52,33,162,0,85,76,12
391005,90,90,0,0,0,63,NA,20
392354,14,1,1,9,1,67,NA,2
392415,455,275,125,22,0,57,NA,27
393649,1332,166,403,30,0,73,NA,23
393861,442,0,3,0,21,95,100,22
395362,2019,155,874,663,0,67,37,18
397942,1009,23,170,15,0,81,NA,23
399212,11897,258,6941,3016,92,71,40,34
399869,510,27,280,87,0,100,NA,20
399911,495,7,69,58,277,90,NA,7
400080,989,163,575,164,0,80,NA,26
400187,346,7,80,27,5,89,69,30
401223,510,0,80,0,263,100,100,42
401764,162,131,14,10,3,100,72,5
402563,155,65,6,78,0,76,NA,6
402800,126,5,96,18,0,88,NA,15
404055,282,66,93,53,0,28,NA,40
404338,59,2,1,2,51,63,NA,10
404426,2524,40,495,1055,0,51,41,25
404684,339,0,339,0,0,64,NA,14
404718,265,26,21,198,0,91,NA,16
404912,664,32,305,232,0,78,NA,25
405012,86,5,1,72,0,91,NA,14
405058,157,0,0,154,3,83,NA,26
405076,578,42,330,180,0,63,NA,25
405854,232,0,0,232,0,62,NA,15
405872,3337,188,260,2503,19,74,53,15
406024,1465,364,176,542,0,54,25,12
406033,2953,354,997,879,0,61,40,12
406325,166,19,5,135,0,63,96,10
406361,31,9,0,20,0,44,NA,16
406422,98,8,3,82,0,80,NA,10
407090,337,100,100,110,1,86,78,14
407142,125,13,0,107,0,100,NA,14
407151,66,6,0,60,0,67,NA,17
407179,95,31,21,22,0,81,73,15
407355,241,23,54,147,0,81,NA,15
407434,56,2,0,49,0,100,NA,10
407461,115,43,5,57,0,84,100,3
407470,168,92,6,21,0,71,50,17
407513,145,1,3,140,0,100,96,9
407568,129,26,5,87,0,81,100,16
407577,175,3,0,167,0,71,69,25
407683,87,0,87,0,0,75,84,12
407708,147,17,36,66,0,83,NA,15
407735,100,9,12,56,0,95,NA,25
407832,298,18,3,196,0,88,90,12
408066,163,25,59,69,0,86,86,11
408163,18,1,1,16,0,73,NA,13
408385,596,9,426,150,0,77,NA,25
408844,2750,114,2276,94,245,77,43,20
408862,200,64,33,95,0,75,73,20
409032,75,0,75,0,0,90,NA,1
409120,91,5,7,66,0,66,NA,11
409193,181,0,181,0,0,16,NA,20
409315,27431,114,26280,518,17,58,54,22
409591,87,17,11,52,0,81,89,13
409698,7713,177,4286,1991,113,80,14,24
410797,88,55,13,12,0,52,NA,12
410964,47,3,7,34,0,100,NA,12
411684,150,10,59,1,5,85,NA,19
412173,558,466,38,41,0,67,NA,28
412535,37,17,9,11,0,100,NA,8
412544,204,26,27,132,0,100,80,22
412599,331,314,0,10,0,40,NA,20
413176,32,0,0,32,0,94,NA,10
413413,47761,14292,6411,21190,338,42,40,41
413626,209,4,0,19,0,51,42,7
413680,411,60,255,12,1,77,NA,15
413820,9,0,0,6,0,69,NA,3
413893,1160,414,49,5,0,73,NA,22
414063,88,2,20,62,2,92,NA,13
414124,312,47,72,163,0,82,74,13
